si.dos
# , E (eV) ,  dos(E)    , Int dos(E) 
  ,-5.610,1.485E-01,6.356E-03
  ,-5.600,1.889E-01,8.059E-03
  ,-5.590,2.102E-01,1.007E-02
  ,-5.580,2.125E-01,1.22E-02
  ,-5.570,1.956E-01,1.426E-02
  ,-5.560,1.597E-01,1.605E-02
  ,-5.550,1.347E-01,1.746E-02
  ,-5.540,1.381E-01,1.882E-02
  ,-5.530,1.416E-01,2.022E-02
  ,-5.520,1.451E-01,2.165E-02
  ,-5.510,1.487E-01,2.312E-02
  ,-5.500,1.523E-01,2.463E-02
  ,-5.490,1.559E-01,2.617E-02
  ,-5.480,1.596E-01,2.775E-02
  ,-5.470,1.633E-01,2.936E-02
  ,-5.460,1.671E-01,3.101E-02
  ,-5.450,1.708E-01,3.27E-02
  ,-5.440,1.746E-01,3.443E-02
  ,-5.430,1.785E-01,3.619E-02
  ,-5.420,1.823E-01,3.8E-02
  ,-5.410,1.862E-01,3.984E-02
  ,-5.400,1.902E-01,4.172E-02
  ,-5.390,1.942E-01,4.364E-02
  ,-5.380,1.982E-01,4.561E-02
  ,-5.370,2.022E-01,4.761E-02
  ,-5.360,2.063E-01,4.965E-02
  ,-5.350,2.104E-01,5.173E-02
  ,-5.340,2.145E-01,5.386E-02
  ,-5.330,2.187E-01,5.603E-02
  ,-5.320,2.229E-01,5.823E-02
  ,-5.310,2.272E-01,6.048E-02
  ,-5.300,2.315E-01,6.278E-02
  ,-5.290,2.368E-01,6.512E-02
  ,-5.280,2.436E-01,6.752E-02
  ,-5.270,2.5E-01,6.999E-02
  ,-5.260,2.562E-01,7.252E-02
  ,-5.250,2.62E-01,7.511E-02
  ,-5.240,2.676E-01,7.776E-02
  ,-5.230,2.728E-01,8.046E-02
  ,-5.220,2.777E-01,8.321E-02
  ,-5.210,2.823E-01,8.601E-02
  ,-5.200,2.865E-01,8.886E-02
  ,-5.190,2.905E-01,9.174E-02
  ,-5.180,2.942E-01,9.466E-02
  ,-5.170,2.975E-01,9.762E-02
  ,-5.160,3.005E-01,1.006E-01
  ,-5.150,3.032E-01,1.036E-01
  ,-5.140,3.056E-01,1.067E-01
  ,-5.130,3.077E-01,1.097E-01
  ,-5.120,3.095E-01,1.128E-01
  ,-5.110,3.109E-01,1.159E-01
  ,-5.100,3.121E-01,1.19E-01
  ,-5.090,3.07E-01,1.222E-01
  ,-5.080,3.012E-01,1.252E-01
  ,-5.070,2.973E-01,1.282E-01
  ,-5.060,2.952E-01,1.311E-01
  ,-5.050,2.949E-01,1.341E-01
  ,-5.040,2.966E-01,1.37E-01
  ,-5.030,2.99E-01,1.4E-01
